,step,date,balance,shares_held,total_shares_sold,cost_basis,total_sales_value,net_worth,max_net_worth,cur_reward,cur_action,profit
874,5599,2020-04-03,673.1642881358616,22,455,153.75266608010475,63201.595211675565,4044.6804906017146,4923.077111712682,551.223158762026,[2.215 0.192],549.6804906017146
875,5600,2020-04-06,3147.204434885391,6,471,153.75266608010475,65675.63535842509,4074.9694899164647,4923.077111712682,587.2080601167011,[1.705  0.7686],579.9694899164647
876,5601,2020-04-07,3147.204434885391,6,471,153.75266608010475,65675.63535842509,4129.220249347869,4923.077111712682,641.4850462517294,[7.173e-01 4.883e-04],634.220249347869
877,5602,2020-04-08,3147.204434885391,6,471,153.75266608010475,65675.63535842509,4134.890808437061,4923.077111712682,647.1818320445459,[0.0040682  0.00122229],639.8908084370614
878,5603,2020-04-09,3147.204434885391,6,471,153.75266608010475,65675.63535842509,4141.137677647654,4923.077111712682,653.4549279587623,[2.799  0.1163],646.1376776476536
879,5604,2020-04-13,3977.6585600337908,1,476,153.75266608010475,66506.0894835735,4143.749385063471,4923.077111712682,658.0305883702165,[1.047  0.9067],648.749385063471
880,5605,2020-04-14,3977.6585600337908,1,476,153.75266608010475,66506.0894835735,4142.541550186668,4923.077111712682,656.8559006480807,[0.00528277 0.00164546],647.5415501866682
881,5606,2020-04-15,3458.930112819638,4,476,168.12027832356438,66506.0894835735,4150.568042438508,4923.077111712682,663.6965282036343,[0.335  0.1342],655.5680424385082
882,5607,2020-04-16,3458.930112819638,4,476,168.12027832356438,66506.0894835735,4146.39523756982,4923.077111712682,659.552547752553,[2.652  0.4414],651.39523756982
883,5608,2020-04-17,1693.561414845979,14,476,174.13212937627972,66506.0894835735,4165.077592009102,4923.077111712682,674.0856873575706,[0.6333 0.557 ],670.0775920091019
884,5609,2020-04-20,2948.4034692064533,7,483,174.13212937627972,67760.93153793397,4203.245523566928,4923.077111712682,715.2479818062931,[1.451 0.544],708.2455235669277
885,5610,2020-04-21,2948.4034692064533,7,483,174.13212937627972,67760.93153793397,4178.471897084068,4923.077111712682,690.4989253523431,[0.00596964 0.00238737],683.4718970840677
886,5611,2020-04-22,1051.73525283415,18,483,173.08850677812563,67760.93153793397,4155.374152352464,4923.077111712682,662.8895524988258,[0.984  0.6484],660.3741523524641
887,5612,2020-04-23,1051.73525283415,18,483,173.08850677812563,67760.93153793397,4162.471999321332,4923.077111712682,669.996163928134,[0.00585319 0.00300456],667.4719993213321
888,5613,2020-04-24,2618.6929169236005,9,492,173.08850677812563,69327.88920202342,4185.650581013051,4923.077111712682,696.9572664546421,[1.299 0.529],690.6505810130511
889,5614,2020-04-27,2618.6929169236005,9,492,173.08850677812563,69327.88920202342,4187.082643971585,4923.077111712682,698.41115185415,[2.998  0.5576],692.0826439715847
890,5615,2020-04-28,1388.694262265066,16,492,174.23720097885405,69327.88920202342,4200.11975862743,4923.077111712682,708.487342213423,[0.05383 0.5083 ],705.1197586274302
891,5616,2020-04-29,174.74349074422594,23,492,173.98895596445672,69327.88920202342,4163.438882884129,4923.077111712682,668.8640920449402,[0.9727 0.965 ],668.4388828841293
892,5617,2020-04-30,174.74349074422594,23,492,173.98895596445672,69327.88920202342,4232.626432065424,4923.077111712682,738.0530974219907,[0.00530591 0.00352652],737.6264320654236
893,5618,2020-05-01,174.74349074422594,23,492,173.98895596445672,69327.88920202342,4308.660060202088,4923.077111712682,814.0881817544114,[0.3616 0.8525],813.6600602020881
894,5619,2020-05-04,174.74349074422594,23,492,173.98895596445672,69327.88920202342,4215.108189860497,4923.077111712682,720.5377676085766,[2.525  0.0365],720.1081898604971
895,5620,2020-05-05,174.74349074422594,23,492,173.98895596445672,69327.88920202342,4254.840529826935,4923.077111712682,760.2715637707711,[2.834 0.531],759.8405298269354
