,step,date,balance,shares_held,total_shares_sold,cost_basis,total_sales_value,net_worth,max_net_worth,cur_reward,cur_action,profit
57,58,1998-03-27,821.0514219554294,20,209,13.42757720340089,2587.2643604602085,1104.932406467693,1106.2492457277187,105.3292479883048,[2.938  0.2554],104.932406467693
58,59,1998-03-30,1035.7071810715067,5,224,13.42757720340089,2801.9201195762857,1107.2591007768658,1107.2591007768658,107.76832347422597,[1.646 0.77 ],107.25910077686581
59,60,1998-03-31,1035.7071810715067,5,224,13.42757720340089,2801.9201195762857,1106.2457180406998,1107.2591007768658,106.76357163123554,[2.12   0.7188],106.24571804069978
60,61,1998-04-01,476.91776643519233,44,224,14.225620469393611,2801.9201195762857,1107.3468496146238,1107.3468496146238,107.58928281256169,[0.0825 0.5547],107.3468496146238
61,62,1998-04-02,635.386864893441,33,235,14.225620469393611,2960.3892180345347,1110.7941602681872,1110.7941602681872,111.12244348171545,[1.27   0.2566],110.79416026818717
62,63,1998-04-03,635.386864893441,33,235,14.225620469393611,2960.3892180345347,1116.9990877501455,1116.9990877501455,117.33266585421453,"[0, 0]",116.99908775014546
63,64,1998-04-06,635.386864893441,33,235,14.225620469393611,2960.3892180345347,1122.633882488909,1122.633882488909,122.9727554835188,[2.531 0.819],122.63388248890897
64,65,1998-04-07,561.1275912836159,38,235,14.30801971315301,2960.3892180345347,1125.4980707182876,1125.4980707182876,125.80201483023292,[0.872  0.1392],125.49807071828764
65,66,1998-04-08,561.1275912836159,38,235,14.30801971315301,2960.3892180345347,1095.1482030005159,1125.4980707182876,95.45682317572187,"[0, 0]",95.14820300051588
66,67,1998-04-09,561.1275912836159,38,235,14.30801971315301,2960.3892180345347,1090.4865306014428,1125.4980707182876,90.79982683990953,"[0, 0]",90.48653060144284
67,68,1998-04-13,561.1275912836159,38,235,14.30801971315301,2960.3892180345347,1100.6232772615424,1125.4980707182876,100.94124956326978,"[0, 0]",100.6232772615424
68,69,1998-04-14,561.1275912836159,38,235,14.30801971315301,2960.3892180345347,1101.9527573148357,1125.4980707182876,102.27540567982379,[2.6    0.3662],101.95275731483571
69,70,1998-04-15,561.1275912836159,38,235,14.30801971315301,2960.3892180345347,1100.7613583511652,1125.4980707182876,101.08868277941397,[2.098  0.7856],100.7613583511652
70,71,1998-04-16,619.29164023035,34,239,14.30801971315301,3018.5532669812687,1113.6860562775905,1125.4980707182876,114.05247049806015,[1.092   0.11304],113.68605627759052
71,72,1998-04-17,314.04808586907814,55,239,14.394840447426805,3018.5532669812687,1113.4954901485999,1125.4980707182876,113.68391900012129,[0.572 0.522],113.49549014859986
72,73,1998-04-20,299.3169140091172,56,239,14.400846365507771,3018.5532669812687,1124.2625381669268,1125.4980707182876,124.444622622949,[0.0802  0.08777],124.26253816692679
73,74,1998-04-21,299.3169140091172,56,239,14.400846365507771,3018.5532669812687,1142.9072394145987,1142.9072394145987,143.0918181782377,[2.521 0.675],142.90723941459873
74,75,1998-04-22,299.3169140091172,56,239,14.400846365507771,3018.5532669812687,1151.218274601424,1151.218274601424,151.4053476726796,"[0, 0]",151.2182746014239
75,76,1998-04-23,52.27539259755574,72,239,14.631790526111066,3018.5532669812687,1163.9622389495826,1163.9622389495826,163.99534669822768,[0.8394 0.8804],163.96223894958257
76,77,1998-04-24,52.27539259755574,72,239,14.631790526111066,3018.5532669812687,1152.9300056255702,1163.9622389495826,152.96354900248693,[0.1904 0.1403],152.93000562557017
77,78,1998-04-27,52.27539259755574,72,239,14.631790526111066,3018.5532669812687,1131.3727244547713,1163.9622389495826,131.4067034599597,[2.115  0.0712],131.3727244547713
78,79,1998-04-28,52.27539259755574,72,239,14.631790526111066,3018.5532669812687,1088.3675964715917,1163.9622389495826,88.40201110505176,[0.9634   0.001032],88.3675964715917
79,80,1998-04-29,52.27539259755574,72,239,14.631790526111066,3018.5532669812687,1107.8098058031615,1163.9622389495826,107.84465606489314,"[0, 0]",107.80980580316145
80,81,1998-04-30,52.27539259755574,72,239,14.631790526111066,3018.5532669812687,1094.9941589579,1163.9622389495826,95.02944484790338,[0.9463 0.276 ],94.99415895790003
81,82,1998-05-01,649.5978103016921,31,280,14.631790526111066,3615.875684685405,1101.231833443844,1163.9622389495826,101.67572528088341,[1.64  0.576],101.23183344384393
82,83,1998-05-04,649.5978103016921,31,280,14.631790526111066,3615.875684685405,1095.4308862855244,1163.9622389495826,95.88019143764971,[2.941   0.03099],95.43088628552437
83,84,1998-05-05,649.5978103016921,31,280,14.631790526111066,3615.875684685405,1088.3075278158435,1163.9622389495826,88.7622462830547,"[0, 0]",88.30752781584351
84,85,1998-05-06,649.5978103016921,31,280,14.631790526111066,3615.875684685405,1085.5304188730329,1163.9622389495826,85.99055065532993,"[0, 0]",85.53041887303289
85,86,1998-05-07,969.1001917542274,8,303,14.631790526111066,3935.37806613794,1080.2314548681527,1163.9622389495826,80.92597667224322,[1.869 0.774],80.2314548681527
86,87,1998-05-08,1038.1099711123327,3,308,14.631790526111066,4004.3878454960454,1079.5158387271958,1163.9622389495826,80.2684684562523,[1.551 0.675],79.51583872719584
87,88,1998-05-11,1038.1099711123327,3,308,14.631790526111066,4004.3878454960454,1078.8293363599198,1163.9622389495826,79.59061700540218,"[0, 0]",78.82933635991981
88,89,1998-05-12,1038.1099711123327,3,308,14.631790526111066,4004.3878454960454,1079.5050762958983,1163.9622389495826,80.27500785780664,"[0, 0]",79.50507629589833
89,90,1998-05-13,1038.1099711123327,3,308,14.631790526111066,4004.3878454960454,1079.2317554553588,1163.9622389495826,80.01033793369304,"[0, 0]",79.23175545535878
90,91,1998-05-14,1038.1099711123327,3,308,14.631790526111066,4004.3878454960454,1080.0374169108788,1163.9622389495826,80.82465030563904,"[0, 0]",80.03741691087885
91,92,1998-05-15,1038.1099711123327,3,308,14.631790526111066,4004.3878454960454,1080.0357160415124,1163.9622389495826,80.8316003526985,"[0, 0]",80.03571604151239
92,93,1998-05-18,1038.1099711123327,3,308,14.631790526111066,4004.3878454960454,1081.1579215277711,1163.9622389495826,81.96245675538317,[2.621  0.5195],81.15792152777112
93,94,1998-05-19,1038.1099711123327,3,308,14.631790526111066,4004.3878454960454,1079.0166369743317,1163.9622389495826,79.82982311836973,"[0, 0]",79.01663697433173
94,95,1998-05-20,280.16401205933084,58,308,13.824850528126467,4004.3878454960454,1079.452477969769,1163.9622389495826,79.67427447931597,[0.201  0.7427],79.452477969769
95,96,1998-05-21,211.3502672518595,63,308,13.819921832362006,4004.3878454960454,1078.4034518259984,1163.9622389495826,78.57253203979994,[0.887  0.2666],78.40345182599845
96,97,1998-05-22,211.3502672518595,63,308,13.819921832362006,4004.3878454960454,1081.7712730575604,1163.9622389495826,81.94211452358898,"[0, 0]",81.77127305756039
97,98,1998-05-26,211.3502672518595,63,308,13.819921832362006,4004.3878454960454,1076.5352091709133,1163.9622389495826,76.70781188916895,[2.613  0.8687],76.53520917091328
98,99,1998-05-27,211.3502672518595,63,308,13.819921832362006,4004.3878454960454,1065.5960274871763,1163.9622389495826,65.77039145765913,[2.479 0.958],65.59602748717634
99,100,1998-05-28,211.3502672518595,63,308,13.819921832362006,4004.3878454960454,1055.9753824518157,1163.9622389495826,56.15150767452556,[2.723  0.5415],55.975382451815676
100,101,1998-05-29,211.3502672518595,63,308,13.819921832362006,4004.3878454960454,1081.259903929773,1163.9622389495826,81.43779040470989,"[0, 0]",81.25990392977292
101,102,1998-06-01,1052.759161114959,2,369,13.819921832362006,4845.796739359145,1080.3463379629295,1163.9622389495826,81.24118324987722,[1.623  0.9707],80.34633796292951
102,103,1998-06-02,1052.759161114959,2,369,13.819921832362006,4845.796739359145,1079.6435956242199,1163.9622389495826,80.54721390417687,[2.53   0.9863],79.64359562421987
103,104,1998-06-03,1052.759161114959,2,369,13.819921832362006,4845.796739359145,1080.0503555773237,1163.9622389495826,80.96274685028997,"[0, 0]",80.05035557732367
104,105,1998-06-04,1052.759161114959,2,369,13.819921832362006,4845.796739359145,1079.8431478017953,1163.9622389495826,80.76431206777093,[2.32  0.923],79.84314780179534
105,106,1998-06-05,1052.759161114959,2,369,13.819921832362006,4845.796739359145,1079.9691593222624,1163.9622389495826,80.89909658124726,"[0, 0]",79.96915932226239
106,107,1998-06-08,1052.759161114959,2,369,13.819921832362006,4845.796739359145,1080.337870168602,1163.9622389495826,81.27658042059613,"[0, 0]",80.33787016860197
107,108,1998-06-09,860.3866339668605,16,369,13.750773175801406,4845.796739359145,1080.2409507075445,1163.9622389495826,81.01529867811465,[0.4395 0.1918],80.24095070754447
108,109,1998-06-10,860.3866339668605,16,369,13.750773175801406,4845.796739359145,1079.5828356789457,1163.9622389495826,80.36435353813225,[1.817   0.05942],79.58283567894568
109,110,1998-06-11,860.3866339668605,16,369,13.750773175801406,4845.796739359145,1081.1841506535795,1163.9622389495826,81.97283840138249,"[0, 0]",81.18415065357954
